company,what_moved,role_title,previous_title,where,team,first_copy,second_copy
front.com,role came down off the page,"Director, Account Management",,"Chicago, IL",,2026-09-12,2026-09-13
sproutsocial.com,role came down off the page,Strategic Services Consultant (Premier Success),,Remote US,Customer Experience,2026-09-13,2026-09-14
ahrefs.com,"same job id, new title",Head of Influencer Marketing - Letaido,Head of Partnerships - Letaido,"Cambridge, MA, United States; Palo Alto, CA, United States",Marketing,2026-08-26,2026-09-02
front.com,role came down off the page,"Director, Account Management",,"San Francisco, CA",,2026-09-12,2026-09-13
sproutsocial.com,role came down off the page,Senior Financial Reporting Analyst,,Remote US,Finance,2026-09-11,2026-09-12
ahrefs.com,role appeared on the page,Accountant,,Singapore,Business Operations,2026-08-26,2026-09-02
front.com,role came down off the page,Staff Data Engineer,,"San Francisco, CA",,2026-09-09,2026-09-10
sproutsocial.com,role came down off the page,Sales Development Representative,,"Chicago, IL",Sales,2026-09-11,2026-09-12
ahrefs.com,role appeared on the page,Product Designer - Letaido,,"Cambridge, MA, United States; Palo Alto, CA, United States; Singapore; Tokyo, Japan",Product Design,2026-08-24,2026-08-25
front.com,role appeared on the page,Senior Implementation Manager,,"San Francisco, CA",,2026-09-09,2026-09-10
sproutsocial.com,role appeared on the page,"Manager, Customer Success, Strategic",,Remote US,Customer Success,2026-09-11,2026-09-12
ahrefs.com,role appeared on the page,Product Marketer - Letaido,,"Cambridge, MA, United States; Palo Alto, CA, United States",Marketing,2026-08-11,2026-08-12
front.com,role appeared on the page,Senior Implementation Manager,,"Chicago, IL",,2026-09-09,2026-09-10
sproutsocial.com,role came down off the page,Customer Adoption Consultant,,Remote US,Customer Experience,2026-09-11,2026-09-12
ahrefs.com,role appeared on the page,Head of Performance Marketing - Letaido,,"Cambridge, MA, United States; Palo Alto, CA, United States",Marketing,2026-08-11,2026-08-12
front.com,role came down off the page,Full Stack Engineer - Integrations,,"Remote, Argentina",,2026-09-09,2026-09-10
sproutsocial.com,role came down off the page,Customer Adoption Consultant,,Remote Philippines,Customer Experience,2026-09-11,2026-09-12
ahrefs.com,role appeared on the page,Head of Partnerships - Letaido,,"Cambridge, MA, United States; Palo Alto, CA, United States",Marketing,2026-08-11,2026-08-12
front.com,role appeared on the page,Full Stack Engineer - Integrations,,"Santiago, Chile",,2026-09-02,2026-09-03
sproutsocial.com,role appeared on the page,"Account Executive, Corporate Sales, Public Sector",,Remote US,Sales,2026-09-11,2026-09-12
ahrefs.com,role appeared on the page,Head of Growth/Organic - Letaido,,"Cambridge, MA, United States; Palo Alto, CA, United States",Marketing,2026-08-11,2026-08-12
front.com,"same job id, new title","Software Engineer, Core Product","Senior Software Engineer, Core Product","San Francisco, CA",,2026-09-01,2026-09-02
sproutsocial.com,role came down off the page,"Account Executive, Corporate",,"Chicago, IL",Sales,2026-09-11,2026-09-12
ahrefs.com,role came down off the page,Video Producer,,"Cambridge, MA, United States",Marketing,2026-08-09,2026-08-10
front.com,role came down off the page,Full Stack Engineer - Integrations,,"Santiago, Chile",,2026-09-01,2026-09-02
